"AnimalID","Name","DateTime","OutcomeType","AnimalType","Age","Sex","IsFixed","MixColor","MainColor","MixBreed","MainBreed"
"A679721","Yes","2014-05-29 17:43:00","Adoption","Dog",1825,"Male","Yes","Yes","Tan","Yes","Chihuahua Shorthair"
"A719113","Yes","2016-01-28 12:05:00","Transfer","Dog",1825,"Male","Yes","Yes","Brown","Yes","Boxer"
"A665298","No","2013-10-16 11:50:00","Transfer","Cat",14,"Female","No","No","Blue","Yes","Domestic Medium Hair"
"A708351","No","2015-07-26 14:40:00","Transfer","Cat",14,"Unknown","Unknown","No","Black","Yes","Domestic Shorthair"
"A670681","Yes","2014-01-30 14:41:00","Transfer","Cat",1460,"Female","Yes","No","Torbie","Yes","Domestic Shorthair"
"A699990","Yes","2015-04-08 18:06:00","Return_to_owner","Dog",1460,"Male","Yes","Yes","Tan","Yes","Cairn Terrier"
"A707767","Yes","2015-07-19 18:27:00","Adoption","Cat",60,"Male","Yes","No","Brown","Yes","Domestic Shorthair"
"A668362","Yes","2013-12-20 12:02:00","Return_to_owner","Dog",730,"Female","Yes","Yes","Black","Yes","Chihuahua Shorthair"
"A674577","Yes","2014-03-23 18:43:00","Adoption","Dog",730,"Male","Yes","No","White","Yes","Other"
"A674802","Yes","2014-03-29 11:26:00","Return_to_owner","Dog",3285,"Male","Yes","Yes","Black","Yes","Dachshund"
"A672410","Yes","2014-02-11 18:16:00","Return_to_owner","Dog",1825,"Male","Yes","No","Tricolor","Yes","Beagle"
"A657753","Yes","2013-12-06 16:53:00","Euthanasia","Dog",365,"Male","Yes","Yes","Yellow","Yes","Chihuahua Shorthair"
"A663339","Yes","2013-10-20 16:37:00","Adoption","Dog",730,"Female","Yes","Yes","Fawn","Yes","Pit Bull"
"A678229","No","2014-05-06 15:59:00","Transfer","Cat",21,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A698694","Yes","2015-07-06 15:48:00","Transfer","Dog",150,"Male","No","Yes","White","Yes","Pit Bull"
"A695971","No","2015-01-26 16:23:00","Euthanasia","Cat",2190,"Male","No","No","Orange","Yes","Domestic Shorthair"
"A674233","Yes","2014-03-22 15:38:00","Adoption","Dog",365,"Female","Yes","No","Tan","Yes","Chihuahua Shorthair"
"A713392","Yes","2015-11-05 00:00:00","Transfer","Dog",90,"Male","No","Yes","Black","Yes","Chihuahua Shorthair"
"A713968","Yes","2015-10-24 18:29:00","Transfer","Cat",30,"Female","No","No","Calico","Yes","Domestic Longhair"
"A701428","Yes","2015-05-03 16:59:00","Return_to_owner","Dog",1095,"Female","Yes","No","Brown","Yes","Chihuahua Shorthair"
"A676146","Yes","2014-04-14 17:00:00","Return_to_owner","Dog",1825,"Male","Yes","No","Black","Yes","Dachshund"
"A679259","Yes","2014-05-26 11:22:00","Adoption","Dog",2920,"Male","Yes","No","Black","Yes","Miniature Schnauzer"
"A688223","No","2014-09-21 14:15:00","Adoption","Dog",60,"Female","Yes","Yes","Black","Yes","Labrador Retriever"
"A691968","No","2014-11-14 11:57:00","Euthanasia","Cat",2555,"Female","No","No","Tortie","Yes","Domestic Shorthair"
"A688871","Yes","2014-10-03 18:43:00","Adoption","Cat",60,"Female","No","No","Black","Yes","Domestic Shorthair"
"A674530","Yes","2014-09-11 17:03:00","Adoption","Dog",1825,"Male","Yes","No","Black","No","Pit Bull"
"A718604","Yes","2016-01-31 17:22:00","Adoption","Dog",365,"Male","Yes","Yes","White","Yes","Pit Bull"
"A686520","No","2014-08-24 09:00:00","Transfer","Cat",90,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A699094","Yes","2015-03-22 18:40:00","Return_to_owner","Dog",730,"Male","Yes","Yes","Brown","Yes","Chihuahua Shorthair"
"A394547","Yes","2015-01-25 11:15:00","Return_to_owner","Dog",3285,"Female","Yes","Yes","Chocolate","Yes","Labrador Retriever"
"A662685","Yes","2015-10-22 17:18:00","Adoption","Dog",1095,"Female","Yes","Yes","Red","Yes","Pit Bull"
"A713977","Yes","2015-10-26 18:39:00","Return_to_owner","Cat",1095,"Female","Yes","No","Calico","Yes","Domestic Shorthair"
"A707781","Yes","2016-01-15 14:03:00","Adoption","Dog",365,"Female","Yes","Yes","Black","Yes","Chihuahua Shorthair"
"A694699","Yes","2015-01-09 15:28:00","Transfer","Dog",730,"Female","Yes","Yes","Black","Yes","Chihuahua Shorthair"
"A696350","Yes","2015-12-15 17:30:00","Return_to_owner","Dog",365,"Female","Yes","No","Brown","No","Pit Bull"
"A679102","Yes","2014-06-10 16:41:00","Transfer","Cat",730,"Male","Yes","No","Flame Point","Yes","Siamese"
"A698341","Yes","2015-05-16 15:19:00","Return_to_owner","Dog",730,"Female","Yes","No","Brown","Yes","Other"
"A681481","No","2014-06-18 09:00:00","Transfer","Cat",730,"Female","No","Yes","Blue","Yes","Domestic Shorthair"
"A714177","No","2015-10-20 09:00:00","Transfer","Cat",90,"Unknown","Unknown","No","Tortie","Yes","Domestic Shorthair"
"A689601","Yes","2014-11-23 18:55:00","Adoption","Dog",30,"Female","Yes","No","Tricolor","Yes","Miniature Pinscher"
"A685062","No","2014-08-05 13:20:00","Adoption","Cat",60,"Male","Yes","Yes","Orange","Yes","Domestic Shorthair"
"A672453","No","2014-02-16 19:38:00","Adoption","Cat",30,"Male","Yes","No","Cream","Yes","Domestic Medium Hair"
"A719480","Yes","2016-02-09 16:31:00","Transfer","Cat",730,"Female","Yes","Yes","Brown","Yes","Domestic Medium Hair"
"A702880","Yes","2015-06-28 15:33:00","Adoption","Cat",60,"Female","Yes","No","Calico","Yes","Domestic Medium Hair"
"A714494","Yes","2015-11-01 19:11:00","Adoption","Dog",180,"Male","Yes","No","Yellow","Yes","Labrador Retriever"
"A711853","Yes","2015-11-07 19:14:00","Adoption","Cat",60,"Female","Yes","No","Brown","Yes","Domestic Shorthair"
"A688720","No","2014-09-26 18:09:00","Adoption","Dog",365,"Female","Yes","No","Tan","Yes","Dachshund"
"A689690","Yes","2014-10-22 14:37:00","Transfer","Dog",180,"Female","No","Yes","Brown","Yes","Dachshund"
"A679915","Yes","2014-06-01 17:48:00","Adoption","Cat",365,"Female","Yes","Yes","Black","Yes","Domestic Shorthair"
"A687991","No","2014-09-12 18:38:00","Transfer","Cat",21,"Male","No","No","Calico","Yes","Domestic Shorthair"
"A707896","Yes","2016-02-19 14:58:00","Adoption","Cat",730,"Male","Yes","No","Brown","Yes","Domestic Shorthair"
"A702014","Yes","2015-11-14 13:30:00","Adoption","Dog",30,"Female","Yes","Yes","Blue","Yes","Blue Lacy"
"A673626","No","2014-03-03 16:58:00","Transfer","Dog",90,"Male","Yes","No","Tricolor","Yes","Rat Terrier"
"A652097","Yes","2014-02-10 12:34:00","Return_to_owner","Dog",730,"Female","Yes","No","Brown","No","Dachshund Longhair"
"A685180","Yes","2014-09-27 12:25:00","Transfer","Dog",730,"Male","Yes","No","Red","Yes","Pit Bull"
"A707442","Yes","2015-08-15 11:32:00","Adoption","Dog",730,"Male","Yes","Yes","Brown","Yes","Pit Bull"
"A682599","Yes","2014-07-03 18:45:00","Adoption","Cat",120,"Female","Yes","No","Calico","No","Domestic Longhair"
"A685452","No","2014-08-11 15:17:00","Transfer","Dog",120,"Female","No","No","Red","Yes","Dachshund"
"A688067","No","2014-09-15 09:00:00","Transfer","Cat",150,"Female","No","No","Torbie","Yes","Domestic Shorthair"
"A714069","Yes","2015-12-16 11:28:00","Adoption","Cat",60,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A705924","Yes","2015-07-29 15:41:00","Transfer","Dog",2555,"Male","Yes","Yes","Brown","Yes","Chihuahua Shorthair"
"A717167","Yes","2016-01-23 16:05:00","Adoption","Cat",1460,"Male","Yes","Yes","Black","Yes","Domestic Shorthair"
"A711639","No","2015-09-10 11:35:00","Transfer","Cat",21,"Female","No","Yes","Tortie","Yes","Domestic Shorthair"
"A716760","Yes","2015-12-06 17:08:00","Adoption","Dog",180,"Male","Yes","Yes","Black","Yes","Border Collie"
"A709048","Yes","2015-08-08 17:58:00","Adoption","Dog",150,"Female","No","Yes","Black","Yes","Labrador Retriever"
"A719048","Yes","2016-01-13 11:43:00","Return_to_owner","Dog",2920,"Female","Yes","No","White","No","Maltese"
"A707437","No","2015-07-19 17:26:00","Adoption","Cat",60,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A706387","Yes","2015-07-06 18:05:00","Adoption","Cat",30,"Female","Yes","Yes","Blue","Yes","Domestic Shorthair"
"A720668","No","2016-02-15 18:30:00","Return_to_owner","Dog",150,"Female","Yes","No","White","Yes","Labrador Retriever"
"A679341","Yes","2014-05-31 13:58:00","Transfer","Cat",30,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A690519","No","2014-10-23 09:00:00","Transfer","Cat",120,"Male","No","No","Blue","Yes","Domestic Shorthair"
"A708769","Yes","2015-08-01 11:54:00","Adoption","Dog",365,"Female","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A681462","Yes","2014-08-10 16:25:00","Adoption","Dog",730,"Male","Yes","Yes","Black","Yes","Labrador Retriever"
"A666444","Yes","2013-11-04 15:50:00","Transfer","Cat",365,"Female","Yes","No","Tortie","Yes","Domestic Shorthair"
"A701153","No","2015-06-25 09:31:00","Adoption","Dog",60,"Male","Yes","No","Tricolor","Yes","Dachshund"
"A710071","Yes","2015-09-01 00:00:00","Transfer","Cat",60,"Male","Yes","Yes","White","Yes","Domestic Shorthair"
"A714602","Yes","2015-10-29 18:44:00","Adoption","Cat",60,"Female","No","No","Brown","Yes","Domestic Shorthair"
"A700707","Yes","2015-04-20 14:41:00","Adoption","Dog",30,"Female","Yes","Yes","Black","Yes","Plott Hound"
"A702563","Yes","2015-05-25 11:26:00","Return_to_owner","Dog",2555,"Female","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A679441","No","2014-05-21 13:47:00","Transfer","Cat",4,"Male","No","Yes","Cream","Yes","Domestic Shorthair"
"A715729","Yes","2015-11-09 13:24:00","Return_to_owner","Dog",1460,"Male","Yes","Yes","White","No","Siberian Husky"
"A716575","Yes","2015-12-22 00:00:00","Transfer","Dog",730,"Female","Yes","Yes","Tan","Yes","Australian Cattle Dog"
"A714462","Yes","2015-11-14 13:26:00","Return_to_owner","Dog",365,"Female","Yes","Yes","White","Yes","Pointer"
"A717429","Yes","2015-12-09 17:05:00","Return_to_owner","Dog",730,"Male","Yes","Yes","Brown","Yes","Pit Bull"
"A687336","No","2014-09-03 18:51:00","Transfer","Cat",28,"Female","No","No","Brown","Yes","Domestic Medium Hair"
"A713364","Yes","2015-11-13 11:53:00","Transfer","Cat",365,"Female","No","Yes","Black","Yes","Domestic Shorthair"
"A701999","Yes","2015-05-12 17:39:00","Adoption","Dog",730,"Female","Yes","Yes","Tan","Yes","Yorkshire Terrier"
"A664304","No","2013-10-03 12:27:00","Transfer","Cat",30,"Male","No","No","Orange","Yes","Domestic Shorthair"
"A698066","Yes","2015-03-07 12:50:00","Transfer","Dog",1460,"Female","Yes","No","White","Yes","German Shepherd"
"A680585","Yes","2014-07-16 17:48:00","Adoption","Cat",120,"Female","Yes","Yes","Brown","Yes","Domestic Shorthair"
"A699715","Yes","2015-05-13 11:51:00","Transfer","Dog",2190,"Female","Yes","Yes","White","Yes","Catahoula"
"A702246","No","2015-05-15 17:47:00","Adoption","Dog",270,"Female","Yes","Yes","Black","Yes","Miniature Poodle"
"A711918","Yes","2015-09-19 14:33:00","Adoption","Dog",1095,"Female","Yes","No","Red","Yes","Jack Russell Terrier"
"A676430","Yes","2014-11-23 12:43:00","Adoption","Cat",240,"Female","Yes","No","Torbie","Yes","Domestic Shorthair"
"A677577","Yes","2014-05-01 16:12:00","Adoption","Dog",30,"Female","Yes","Yes","Red","Yes","Queensland Heeler"
"A683666","No","2015-09-01 00:00:00","Transfer","Cat",365,"Male","Yes","Yes","White","Yes","Domestic Shorthair"
"A713754","Yes","2015-10-27 16:44:00","Adoption","Dog",365,"Male","Yes","No","Blue","Yes","Catahoula"
"A703631","Yes","2015-07-03 18:50:00","Adoption","Dog",365,"Male","Yes","Yes","Black","Yes","Labrador Retriever"
"A676209","Yes","2014-07-24 15:02:00","Adoption","Dog",90,"Male","Yes","No","Yellow","Yes","Labrador Retriever"
"A667508","Yes","2013-11-19 18:30:00","Return_to_owner","Dog",2190,"Male","No","Yes","Chocolate","Yes","Chihuahua Shorthair"
"A671105","No","2014-01-21 15:20:00","Transfer","Cat",365,"Unknown","Unknown","No","Black","Yes","Domestic Longhair"
"A676056","Yes","2014-04-10 10:13:00","Return_to_owner","Dog",730,"Male","Yes","Yes","Tan","Yes","American Pit Bull Terrier"
"A667963","No","2013-11-30 18:48:00","Adoption","Dog",1825,"Female","Yes","Yes","Tan","Yes","Dachshund Longhair"
"A702207","No","2015-05-10 17:16:00","Euthanasia","Cat",365,"Male","Yes","Yes","Orange","Yes","Domestic Longhair"
"A672065","Yes","2014-04-08 12:50:00","Adoption","Dog",730,"Female","Yes","No","Sable","Yes","German Shepherd"
"A688852","Yes","2014-10-18 18:48:00","Adoption","Dog",2190,"Male","Yes","Yes","Black","Yes","Labrador Retriever"
"A705885","Yes","2015-06-27 18:24:00","Adoption","Cat",90,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A670949","Yes","2014-02-01 11:13:00","Return_to_owner","Dog",240,"Female","Yes","No","Tricolor","Yes","Doberman Pinsch"
"A665666","Yes","2013-12-27 15:49:00","Transfer","Cat",365,"Male","Yes","No","Black","Yes","Domestic Shorthair"
"A714575","Yes","2015-10-31 15:18:00","Transfer","Cat",365,"Female","No","No","Black","Yes","Domestic Shorthair"
"A690480","No","2014-10-22 17:46:00","Transfer","Dog",21,"Female","No","Yes","Chocolate","Yes","Pointer"
"A691636","Yes","2014-11-13 16:07:00","Adoption","Dog",150,"Male","Yes","Yes","White","Yes","Dachshund"
"A678482","No","2014-05-14 19:15:00","Adoption","Dog",730,"Male","Yes","Yes","Black","Yes","Miniature Poodle"
"A687785","Yes","2014-12-30 09:38:00","Adoption","Dog",730,"Female","Yes","Yes","Brown","Yes","Other"
"A716839","Yes","2015-11-27 14:06:00","Return_to_owner","Dog",730,"Male","No","Yes","Brown","Yes","Australian Shepherd"
"A718547","No","2016-01-11 14:23:00","Adoption","Dog",730,"Female","Yes","Yes","Tan","Yes","Labrador Retriever"
"A687989","No","2014-09-12 18:38:00","Transfer","Cat",21,"Female","No","No","Calico","Yes","Domestic Shorthair"
"A694408","Yes","2015-05-28 13:14:00","Transfer","Dog",365,"Female","Yes","Yes","Brown","Yes","Pit Bull"
"A698940","No","2015-03-21 09:00:00","Transfer","Cat",730,"Male","No","Yes","Brown","Yes","Domestic Shorthair"
"A666074","Yes","2013-10-30 15:14:00","Transfer","Cat",28,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A675549","Yes","2014-04-08 15:29:00","Transfer","Dog",1460,"Male","Yes","Yes","White","Yes","Chihuahua Shorthair"
"A682131","No","2014-06-24 19:15:00","Transfer","Cat",21,"Male","No","No","Brown","Yes","Domestic Shorthair"
"A674737","Yes","2014-05-27 08:21:00","Adoption","Cat",60,"Male","No","No","Black","Yes","Domestic Shorthair"
"A719876","Yes","2016-02-02 15:58:00","Transfer","Dog",365,"Female","Yes","Yes","White","Yes","Rat Terrier"
"A676626","Yes","2014-05-30 16:54:00","Adoption","Dog",60,"Female","Yes","Yes","Brown","Yes","Other"
"A666478","Yes","2013-11-04 17:51:00","Adoption","Dog",365,"Female","Yes","Yes","Black","Yes","Miniature Schnauzer"
